group,location_n_event,count,day
45-64,BK_HOSPITALIZED_RATE,740.51,2020-05-29
45-64,BK_DEATH_RATE,194.1,2020-05-29
45-64,BX_CASE_COUNT,16830,2020-05-29
45-64,BX_HOSPITALIZED_COUNT,4068,2020-05-29
45-64,BX_DEATH_COUNT,870,2020-05-29
45-64,BX_CASE_RATE,4946.77,2020-05-29
45-64,BX_HOSPITALIZED_RATE,1195.69,2020-05-29
45-64,BX_DEATH_RATE,255.72,2020-05-29
45-64,MN_CASE_COUNT,8128,2020-05-29
45-64,MN_HOSPITALIZED_COUNT,2286,2020-05-29
45-64,MN_DEATH_COUNT,341,2020-05-29
45-64,MN_CASE_RATE,2117.49,2020-05-29
45-64,MN_HOSPITALIZED_RATE,595.55,2020-05-29
45-64,MN_DEATH_RATE,88.84,2020-05-29
45-64,QN_CASE_COUNT,23230,2020-05-29
45-64,QN_HOSPITALIZED_COUNT,5860,2020-05-29
45-64,QN_DEATH_COUNT,1232,2020-05-29
45-64,QN_CASE_RATE,3810.46,2020-05-29
45-64,QN_HOSPITALIZED_RATE,961.23,2020-05-29
45-64,QN_DEATH_RATE,202.09,2020-05-29
45-64,SI_CASE_COUNT,5131,2020-05-29
45-64,SI_HOSPITALIZED_COUNT,798,2020-05-29
45-64,SI_DEATH_COUNT,168,2020-05-29
45-64,SI_CASE_RATE,3905.08,2020-05-29
45-64,SI_HOSPITALIZED_RATE,607.34,2020-05-29
45-64,SI_DEATH_RATE,127.86,2020-05-29
65-74,BK_CASE_COUNT,7655,2020-05-29
65-74,BK_HOSPITALIZED_COUNT,3308,2020-05-29
65-74,BK_DEATH_COUNT,1309,2020-05-29
65-74,BK_CASE_RATE,3745.31,2020-05-29
65-74,BK_HOSPITALIZED_RATE,1618.48,2020-05-29
65-74,BK_DEATH_RATE,640.45,2020-05-29
65-74,BX_CASE_COUNT,5165,2020-05-29
65-74,BX_HOSPITALIZED_COUNT,2554,2020-05-29
65-74,BX_DEATH_COUNT,915,2020-05-29
65-74,BX_CASE_RATE,5063.03,2020-05-29
65-74,BX_HOSPITALIZED_RATE,2503.58,2020-05-29
65-74,BX_DEATH_RATE,896.94,2020-05-29
65-74,MN_CASE_COUNT,3397,2020-05-29
65-74,MN_HOSPITALIZED_COUNT,1680,2020-05-29
65-74,MN_DEATH_COUNT,525,2020-05-29
65-74,MN_CASE_RATE,2321.29,2020-05-29
65-74,MN_HOSPITALIZED_RATE,1148,2020-05-29
65-74,MN_DEATH_RATE,358.75,2020-05-29
65-74,QN_CASE_COUNT,7128,2020-05-29
65-74,QN_HOSPITALIZED_COUNT,3432,2020-05-29
65-74,QN_DEATH_COUNT,1234,2020-05-29
65-74,QN_CASE_RATE,3546.46,2020-05-29
65-74,QN_HOSPITALIZED_RATE,1707.56,2020-05-29
65-74,QN_DEATH_RATE,613.96,2020-05-29
65-74,SI_CASE_COUNT,1332,2020-05-29
65-74,SI_HOSPITALIZED_COUNT,481,2020-05-29
65-74,SI_DEATH_COUNT,188,2020-05-29
65-74,SI_CASE_RATE,2934.89,2020-05-29
65-74,SI_HOSPITALIZED_RATE,1059.82,2020-05-29
65-74,SI_DEATH_RATE,414.23,2020-05-29
75+,BK_CASE_COUNT,6735,2020-05-29
75+,BK_HOSPITALIZED_COUNT,3990,2020-05-29
75+,BK_DEATH_COUNT,2436,2020-05-29
75+,BK_CASE_RATE,4349.17,2020-05-29
75+,BK_HOSPITALIZED_RATE,2576.57,2020-05-29
75+,BK_DEATH_RATE,1573.06,2020-05-29
75+,BX_CASE_COUNT,4625,2020-05-29
75+,BX_HOSPITALIZED_COUNT,2890,2020-05-29
75+,BX_DEATH_COUNT,1598,2020-05-29
75+,BX_CASE_RATE,5684.54,2020-05-29
75+,BX_HOSPITALIZED_RATE,3552.07,2020-05-29
75+,BX_DEATH_RATE,1964.09,2020-05-29
75+,MN_CASE_COUNT,4098,2020-05-29
75+,MN_HOSPITALIZED_COUNT,2538,2020-05-29
75+,MN_DEATH_COUNT,1355,2020-05-29
75+,MN_CASE_RATE,3343.64,2020-05-29
75+,MN_HOSPITALIZED_RATE,2070.81,2020-05-29
75+,MN_DEATH_RATE,1105.57,2020-05-29
75+,QN_CASE_COUNT,6630,2020-05-29
75+,QN_HOSPITALIZED_COUNT,4208,2020-05-29
75+,QN_DEATH_COUNT,2322,2020-05-29
75+,QN_CASE_RATE,4235.66,2020-05-29
75+,QN_HOSPITALIZED_RATE,2688.34,2020-05-29
75+,QN_DEATH_RATE,1483.44,2020-05-29
75+,SI_CASE_COUNT,1203,2020-05-29
75+,SI_HOSPITALIZED_COUNT,628,2020-05-29
75+,SI_DEATH_COUNT,424,2020-05-29
75+,SI_CASE_RATE,3798.79,2020-05-29
75+,SI_HOSPITALIZED_RATE,1983.07,2020-05-29
75+,SI_DEATH_RATE,1338.89,2020-05-29
Boroughwide,BK_CASE_COUNT,54817,2020-05-29
Boroughwide,BK_HOSPITALIZED_COUNT,13859,2020-05-29
Boroughwide,BK_DEATH_COUNT,5085,2020-05-29
Boroughwide,BK_CASE_RATE,2122.36,2020-05-29
Boroughwide,BK_HOSPITALIZED_RATE,536.58,2020-05-29
Boroughwide,BK_DEATH_RATE,196.88,2020-05-29
Boroughwide,BX_CASE_COUNT,45021,2020-05-29
Boroughwide,BX_HOSPITALIZED_COUNT,11654,2020-05-29
Boroughwide,BX_DEATH_COUNT,3543,2020-05-29
Boroughwide,BX_CASE_RATE,3143.63,2020-05-29
Boroughwide,BX_HOSPITALIZED_RATE,813.75,2020-05-29
Boroughwide,BX_DEATH_RATE,247.39,2020-05-29
Boroughwide,MN_CASE_COUNT,24842,2020-05-29
Boroughwide,MN_HOSPITALIZED_COUNT,7548,2020-05-29
Boroughwide,MN_DEATH_COUNT,2274,2020-05-29
Boroughwide,MN_CASE_RATE,1525.26,2020-05-29
Boroughwide,MN_HOSPITALIZED_RATE,463.44,2020-05-29
Boroughwide,MN_DEATH_RATE,139.62,2020-05-29
Boroughwide,QN_CASE_COUNT,60917,2020-05-29
Boroughwide,QN_HOSPITALIZED_COUNT,16152,2020-05-29
Boroughwide,QN_DEATH_COUNT,5012,2020-05-29
Boroughwide,QN_CASE_RATE,2673.08,2020-05-29
Boroughwide,QN_HOSPITALIZED_RATE,708.76,2020-05-29
Boroughwide,QN_DEATH_RATE,219.93,2020-05-29
Boroughwide,SI_CASE_COUNT,13340,2020-05-29
Boroughwide,SI_HOSPITALIZED_COUNT,2241,2020-05-29
Boroughwide,SI_DEATH_COUNT,811,2020-05-29
Boroughwide,SI_CASE_RATE,2801.47,2020-05-29
Boroughwide,SI_HOSPITALIZED_RATE,470.62,2020-05-29
Boroughwide,SI_DEATH_RATE,170.31,2020-05-29
0-17,BK_CASE_COUNT,1671,2020-05-30
0-17,BK_HOSPITALIZED_COUNT,163,2020-05-30
0-17,BK_DEATH_COUNT,3,2020-05-30
0-17,BK_CASE_RATE,286.56,2020-05-30
0-17,BK_HOSPITALIZED_RATE,27.95,2020-05-30
0-17,BK_DEATH_RATE,0.51,2020-05-30
0-17,BX_CASE_COUNT,1586,2020-05-30
0-17,BX_HOSPITALIZED_COUNT,150,2020-05-30
0-17,BX_DEATH_COUNT,5,2020-05-30
0-17,BX_CASE_RATE,449.46,2020-05-30
0-17,BX_HOSPITALIZED_RATE,42.51,2020-05-30
0-17,BX_DEATH_RATE,1.42,2020-05-30
0-17,MN_CASE_COUNT,418,2020-05-30
0-17,MN_HOSPITALIZED_COUNT,56,2020-05-30
0-17,MN_DEATH_COUNT,1,2020-05-30
0-17,MN_CASE_RATE,179.77,2020-05-30
0-17,MN_HOSPITALIZED_RATE,24.08,2020-05-30
0-17,MN_DEATH_RATE,0.43,2020-05-30
0-17,QN_CASE_COUNT,1421,2020-05-30
0-17,QN_HOSPITALIZED_COUNT,114,2020-05-30
0-17,QN_DEATH_COUNT,1,2020-05-30
0-17,QN_CASE_RATE,312.31,2020-05-30
0-17,QN_HOSPITALIZED_RATE,25.06,2020-05-30
0-17,QN_DEATH_RATE,0.22,2020-05-30
0-17,SI_CASE_COUNT,399,2020-05-30
0-17,SI_HOSPITALIZED_COUNT,26,2020-05-30
0-17,SI_DEATH_COUNT,0,2020-05-30
0-17,SI_CASE_RATE,385.81,2020-05-30
0-17,SI_HOSPITALIZED_RATE,25.14,2020-05-30
0-17,SI_DEATH_RATE,0,2020-05-30
18-44,BK_CASE_COUNT,19823,2020-05-30
18-44,BK_HOSPITALIZED_COUNT,2084,2020-05-30
18-44,BK_DEATH_COUNT,190,2020-05-30
18-44,BK_CASE_RATE,1888.77,2020-05-30
18-44,BK_HOSPITALIZED_RATE,198.57,2020-05-30
18-44,BK_DEATH_RATE,18.1,2020-05-30
18-44,BX_CASE_COUNT,16760,2020-05-30
18-44,BX_HOSPITALIZED_COUNT,2002,2020-05-30
18-44,BX_DEATH_COUNT,155,2020-05-30
18-44,BX_CASE_RATE,3016.18,2020-05-30
18-44,BX_HOSPITALIZED_RATE,360.29,2020-05-30
18-44,BX_DEATH_RATE,27.89,2020-05-30
18-44,MN_CASE_COUNT,8762,2020-05-30
18-44,MN_HOSPITALIZED_COUNT,992,2020-05-30
18-44,MN_DEATH_COUNT,52,2020-05-30
18-44,MN_CASE_RATE,1178.6,2020-05-30
18-44,MN_HOSPITALIZED_RATE,133.44,2020-05-30
18-44,MN_DEATH_RATE,6.99,2020-05-30
18-44,QN_CASE_COUNT,22517,2020-05-30
18-44,QN_HOSPITALIZED_COUNT,2556,2020-05-30
18-44,QN_DEATH_COUNT,225,2020-05-30
18-44,QN_CASE_RATE,2628.16,2020-05-30
18-44,QN_HOSPITALIZED_RATE,298.33,2020-05-30
18-44,QN_DEATH_RATE,26.26,2020-05-30
18-44,SI_CASE_COUNT,5287,2020-05-30
18-44,SI_HOSPITALIZED_COUNT,308,2020-05-30
18-44,SI_DEATH_COUNT,31,2020-05-30
18-44,SI_CASE_RATE,3217.62,2020-05-30
18-44,SI_HOSPITALIZED_RATE,187.45,2020-05-30
18-44,SI_DEATH_RATE,18.87,2020-05-30
45-64,BK_CASE_COUNT,19055,2020-05-30
45-64,BK_HOSPITALIZED_COUNT,4431,2020-05-30
45-64,BK_DEATH_COUNT,1151,2020-05-30
45-64,BK_CASE_RATE,3224.5,2020-05-30
45-64,BK_HOSPITALIZED_RATE,749.82,2020-05-30
45-64,BK_DEATH_RATE,194.77,2020-05-30
45-64,BX_CASE_COUNT,16882,2020-05-30
45-64,BX_HOSPITALIZED_COUNT,4078,2020-05-30
45-64,BX_DEATH_COUNT,868,2020-05-30
45-64,BX_CASE_RATE,4962.05,2020-05-30
45-64,BX_HOSPITALIZED_RATE,1198.63,2020-05-30
45-64,BX_DEATH_RATE,255.13,2020-05-30
45-64,MN_CASE_COUNT,8187,2020-05-30
45-64,MN_HOSPITALIZED_COUNT,2290,2020-05-30
45-64,MN_DEATH_COUNT,341,2020-05-30
45-64,MN_CASE_RATE,2132.86,2020-05-30
45-64,MN_HOSPITALIZED_RATE,596.59,2020-05-30
45-64,MN_DEATH_RATE,88.84,2020-05-30
45-64,QN_CASE_COUNT,23312,2020-05-30
45-64,QN_HOSPITALIZED_COUNT,5871,2020-05-30
45-64,QN_DEATH_COUNT,1235,2020-05-30
45-64,QN_CASE_RATE,3823.91,2020-05-30
45-64,QN_HOSPITALIZED_RATE,963.03,2020-05-30
45-64,QN_DEATH_RATE,202.58,2020-05-30
45-64,SI_CASE_COUNT,5146,2020-05-30
45-64,SI_HOSPITALIZED_COUNT,799,2020-05-30
45-64,SI_DEATH_COUNT,170,2020-05-30
45-64,SI_CASE_RATE,3916.49,2020-05-30
45-64,SI_HOSPITALIZED_RATE,608.1,2020-05-30
45-64,SI_DEATH_RATE,129.38,2020-05-30
65-74,BK_CASE_COUNT,7684,2020-05-30
65-74,BK_HOSPITALIZED_COUNT,3345,2020-05-30
65-74,BK_DEATH_COUNT,1309,2020-05-30
65-74,BK_CASE_RATE,3759.5,2020-05-30
65-74,BK_HOSPITALIZED_RATE,1636.59,2020-05-30
65-74,BK_DEATH_RATE,640.45,2020-05-30
65-74,BX_CASE_COUNT,5184,2020-05-30
65-74,BX_HOSPITALIZED_COUNT,2562,2020-05-30
65-74,BX_DEATH_COUNT,918,2020-05-30
65-74,BX_CASE_RATE,5081.66,2020-05-30
65-74,BX_HOSPITALIZED_RATE,2511.42,2020-05-30
65-74,BX_DEATH_RATE,899.88,2020-05-30
65-74,MN_CASE_COUNT,3411,2020-05-30
65-74,MN_HOSPITALIZED_COUNT,1681,2020-05-30
65-74,MN_DEATH_COUNT,530,2020-05-30
65-74,MN_CASE_RATE,2330.86,2020-05-30
65-74,MN_HOSPITALIZED_RATE,1148.69,2020-05-30
65-74,MN_DEATH_RATE,362.17,2020-05-30
65-74,QN_CASE_COUNT,7149,2020-05-30
65-74,QN_HOSPITALIZED_COUNT,3437,2020-05-30
65-74,QN_DEATH_COUNT,1239,2020-05-30
65-74,QN_CASE_RATE,3556.91,2020-05-30
65-74,QN_HOSPITALIZED_RATE,1710.04,2020-05-30
65-74,QN_DEATH_RATE,616.45,2020-05-30
65-74,SI_CASE_COUNT,1338,2020-05-30
65-74,SI_HOSPITALIZED_COUNT,483,2020-05-30
65-74,SI_DEATH_COUNT,189,2020-05-30
65-74,SI_CASE_RATE,2948.11,2020-05-30
65-74,SI_HOSPITALIZED_RATE,1064.23,2020-05-30
65-74,SI_DEATH_RATE,416.44,2020-05-30
75+,BK_CASE_COUNT,6761,2020-05-30
75+,BK_HOSPITALIZED_COUNT,4037,2020-05-30
75+,BK_DEATH_COUNT,2445,2020-05-30
75+,BK_CASE_RATE,4365.96,2020-05-30
75+,BK_HOSPITALIZED_RATE,2606.92,2020-05-30
75+,BK_DEATH_RATE,1578.88,2020-05-30
75+,BX_CASE_COUNT,4645,2020-05-30
75+,BX_HOSPITALIZED_COUNT,2897,2020-05-30
75+,BX_DEATH_COUNT,1601,2020-05-30
75+,BX_CASE_RATE,5709.12,2020-05-30
75+,BX_HOSPITALIZED_RATE,3560.67,2020-05-30
75+,BX_DEATH_RATE,1967.77,2020-05-30
75+,MN_CASE_COUNT,4114,2020-05-30
75+,MN_HOSPITALIZED_COUNT,2545,2020-05-30
75+,MN_DEATH_COUNT,1360,2020-05-30
75+,MN_CASE_RATE,3356.7,2020-05-30
75+,MN_HOSPITALIZED_RATE,2076.52,2020-05-30
75+,MN_DEATH_RATE,1109.65,2020-05-30
75+,QN_CASE_COUNT,6647,2020-05-30
75+,QN_HOSPITALIZED_COUNT,4228,2020-05-30
75+,QN_DEATH_COUNT,2326,2020-05-30
75+,QN_CASE_RATE,4246.52,2020-05-30
75+,QN_HOSPITALIZED_RATE,2701.11,2020-05-30
75+,QN_DEATH_RATE,1486,2020-05-30
75+,SI_CASE_COUNT,1206,2020-05-30
75+,SI_HOSPITALIZED_COUNT,628,2020-05-30
75+,SI_DEATH_COUNT,427,2020-05-30
75+,SI_CASE_RATE,3808.26,2020-05-30
75+,SI_HOSPITALIZED_RATE,1983.07,2020-05-30
75+,SI_DEATH_RATE,1348.36,2020-05-30
Boroughwide,BK_CASE_COUNT,55091,2020-05-30
Boroughwide,BK_HOSPITALIZED_COUNT,14060,2020-05-30
Boroughwide,BK_DEATH_COUNT,5098,2020-05-30
Boroughwide,BK_CASE_RATE,2132.97,2020-05-30
Boroughwide,BK_HOSPITALIZED_RATE,544.36,2020-05-30
Boroughwide,BK_DEATH_RATE,197.38,2020-05-30
Boroughwide,BX_CASE_COUNT,45210,2020-05-30
Boroughwide,BX_HOSPITALIZED_COUNT,11690,2020-05-30
Boroughwide,BX_DEATH_COUNT,3547,2020-05-30
Boroughwide,BX_CASE_RATE,3156.83,2020-05-30
Boroughwide,BX_HOSPITALIZED_RATE,816.27,2020-05-30
Boroughwide,BX_DEATH_RATE,247.67,2020-05-30
Boroughwide,MN_CASE_COUNT,24976,2020-05-30
Boroughwide,MN_HOSPITALIZED_COUNT,7564,2020-05-30
Boroughwide,MN_DEATH_COUNT,2284,2020-05-30
Boroughwide,MN_CASE_RATE,1533.49,2020-05-30
Boroughwide,MN_HOSPITALIZED_RATE,464.42,2020-05-30
Boroughwide,MN_DEATH_RATE,140.23,2020-05-30
Boroughwide,QN_CASE_COUNT,61131,2020-05-30
Boroughwide,QN_HOSPITALIZED_COUNT,16207,2020-05-30
Boroughwide,QN_DEATH_COUNT,5026,2020-05-30
Boroughwide,QN_CASE_RATE,2682.47,2020-05-30
Boroughwide,QN_HOSPITALIZED_RATE,711.17,2020-05-30
Boroughwide,QN_DEATH_RATE,220.54,2020-05-30
Boroughwide,SI_CASE_COUNT,13384,2020-05-30
Boroughwide,SI_HOSPITALIZED_COUNT,2244,2020-05-30
Boroughwide,SI_DEATH_COUNT,817,2020-05-30
Boroughwide,SI_CASE_RATE,2810.71,2020-05-30
Boroughwide,SI_HOSPITALIZED_RATE,471.25,2020-05-30
Boroughwide,SI_DEATH_RATE,171.57,2020-05-30
0-17,BK_CASE_COUNT,1676,2020-05-31
0-17,BK_HOSPITALIZED_COUNT,165,2020-05-31
0-17,BK_DEATH_COUNT,3,2020-05-31
0-17,BK_CASE_RATE,287.42,2020-05-31
0-17,BK_HOSPITALIZED_RATE,28.3,2020-05-31
0-17,BK_DEATH_RATE,0.51,2020-05-31
0-17,BX_CASE_COUNT,1591,2020-05-31
0-17,BX_HOSPITALIZED_COUNT,154,2020-05-31
0-17,BX_DEATH_COUNT,5,2020-05-31
0-17,BX_CASE_RATE,450.88,2020-05-31
0-17,BX_HOSPITALIZED_RATE,43.64,2020-05-31
0-17,BX_DEATH_RATE,1.42,2020-05-31
0-17,MN_CASE_COUNT,418,2020-05-31
0-17,MN_HOSPITALIZED_COUNT,58,2020-05-31
0-17,MN_DEATH_COUNT,1,2020-05-31
0-17,MN_CASE_RATE,179.77,2020-05-31
0-17,MN_HOSPITALIZED_RATE,24.94,2020-05-31
0-17,MN_DEATH_RATE,0.43,2020-05-31
0-17,QN_CASE_COUNT,1427,2020-05-31
0-17,QN_HOSPITALIZED_COUNT,115,2020-05-31
0-17,QN_DEATH_COUNT,1,2020-05-31
0-17,QN_CASE_RATE,313.63,2020-05-31
0-17,QN_HOSPITALIZED_RATE,25.28,2020-05-31
0-17,QN_DEATH_RATE,0.22,2020-05-31
0-17,SI_CASE_COUNT,399,2020-05-31
0-17,SI_HOSPITALIZED_COUNT,26,2020-05-31
0-17,SI_DEATH_COUNT,0,2020-05-31
0-17,SI_CASE_RATE,385.81,2020-05-31
0-17,SI_HOSPITALIZED_RATE,25.14,2020-05-31
0-17,SI_DEATH_RATE,0,2020-05-31
18-44,BK_CASE_COUNT,19901,2020-05-31
18-44,BK_HOSPITALIZED_COUNT,2118,2020-05-31
18-44,BK_DEATH_COUNT,190,2020-05-31
18-44,BK_CASE_RATE,1896.2,2020-05-31
18-44,BK_HOSPITALIZED_RATE,201.81,2020-05-31
18-44,BK_DEATH_RATE,18.1,2020-05-31
18-44,BX_CASE_COUNT,16815,2020-05-31
18-44,BX_HOSPITALIZED_COUNT,2014,2020-05-31
18-44,BX_DEATH_COUNT,156,2020-05-31
18-44,BX_CASE_RATE,3026.08,2020-05-31
18-44,BX_HOSPITALIZED_RATE,362.45,2020-05-31
18-44,BX_DEATH_RATE,28.07,2020-05-31
18-44,MN_CASE_COUNT,8798,2020-05-31
18-44,MN_HOSPITALIZED_COUNT,1009,2020-05-31
18-44,MN_DEATH_COUNT,53,2020-05-31
18-44,MN_CASE_RATE,1183.44,2020-05-31
18-44,MN_HOSPITALIZED_RATE,135.72,2020-05-31
18-44,MN_DEATH_RATE,7.13,2020-05-31
18-44,QN_CASE_COUNT,22586,2020-05-31
18-44,QN_HOSPITALIZED_COUNT,2589,2020-05-31
18-44,QN_DEATH_COUNT,225,2020-05-31
18-44,QN_CASE_RATE,2636.21,2020-05-31
18-44,QN_HOSPITALIZED_RATE,302.19,2020-05-31
18-44,QN_DEATH_RATE,26.26,2020-05-31
18-44,SI_CASE_COUNT,5296,2020-05-31
18-44,SI_HOSPITALIZED_COUNT,312,2020-05-31
18-44,SI_DEATH_COUNT,31,2020-05-31
18-44,SI_CASE_RATE,3223.1,2020-05-31
18-44,SI_HOSPITALIZED_RATE,189.88,2020-05-31
18-44,SI_DEATH_RATE,18.87,2020-05-31
45-64,BK_CASE_COUNT,19130,2020-05-31
45-64,BK_HOSPITALIZED_COUNT,4459,2020-05-31
45-64,BK_DEATH_COUNT,1154,2020-05-31
45-64,BK_CASE_RATE,3237.19,2020-05-31
45-64,BK_HOSPITALIZED_RATE,754.55,2020-05-31
45-64,BK_DEATH_RATE,195.28,2020-05-31
45-64,BX_CASE_COUNT,16946,2020-05-31
45-64,BX_HOSPITALIZED_COUNT,4095,2020-05-31
45-64,BX_DEATH_COUNT,874,2020-05-31
45-64,BX_CASE_RATE,4980.87,2020-05-31
45-64,BX_HOSPITALIZED_RATE,1203.63,2020-05-31
45-64,BX_DEATH_RATE,256.89,2020-05-31
45-64,MN_CASE_COUNT,8213,2020-05-31
45-64,MN_HOSPITALIZED_COUNT,2321,2020-05-31
45-64,MN_DEATH_COUNT,342,2020-05-31
45-64,MN_CASE_RATE,2139.64,2020-05-31
45-64,MN_HOSPITALIZED_RATE,604.66,2020-05-31
45-64,MN_DEATH_RATE,89.1,2020-05-31
45-64,QN_CASE_COUNT,23371,2020-05-31
45-64,QN_HOSPITALIZED_COUNT,5919,2020-05-31
45-64,QN_DEATH_COUNT,1237,2020-05-31
45-64,QN_CASE_RATE,3833.59,2020-05-31
45-64,QN_HOSPITALIZED_RATE,970.9,2020-05-31
45-64,QN_DEATH_RATE,202.91,2020-05-31
45-64,SI_CASE_COUNT,5158,2020-05-31
45-64,SI_HOSPITALIZED_COUNT,808,2020-05-31
45-64,SI_DEATH_COUNT,171,2020-05-31
45-64,SI_CASE_RATE,3925.63,2020-05-31
45-64,SI_HOSPITALIZED_RATE,614.95,2020-05-31
45-64,SI_DEATH_RATE,130.14,2020-05-31
65-74,BK_CASE_COUNT,7704,2020-05-31
65-74,BK_HOSPITALIZED_COUNT,3365,2020-05-31
65-74,BK_DEATH_COUNT,1319,2020-05-31
65-74,BK_CASE_RATE,3769.28,2020-05-31
65-74,BK_HOSPITALIZED_RATE,1646.37,2020-05-31
65-74,BK_DEATH_RATE,645.34,2020-05-31
65-74,BX_CASE_COUNT,5196,2020-05-31
65-74,BX_HOSPITALIZED_COUNT,2572,2020-05-31
65-74,BX_DEATH_COUNT,920,2020-05-31
65-74,BX_CASE_RATE,5093.42,2020-05-31
65-74,BX_HOSPITALIZED_RATE,2521.22,2020-05-31
65-74,BX_DEATH_RATE,901.84,2020-05-31
65-74,MN_CASE_COUNT,3420,2020-05-31
65-74,MN_HOSPITALIZED_COUNT,1705,2020-05-31
65-74,MN_DEATH_COUNT,532,2020-05-31
65-74,MN_CASE_RATE,2337.01,2020-05-31
65-74,MN_HOSPITALIZED_RATE,1165.09,2020-05-31
65-74,MN_DEATH_RATE,363.53,2020-05-31
65-74,QN_CASE_COUNT,7177,2020-05-31
65-74,QN_HOSPITALIZED_COUNT,3466,2020-05-31
65-74,QN_DEATH_COUNT,1244,2020-05-31
65-74,QN_CASE_RATE,3570.84,2020-05-31
65-74,QN_HOSPITALIZED_RATE,1724.47,2020-05-31
65-74,QN_DEATH_RATE,618.94,2020-05-31
65-74,SI_CASE_COUNT,1343,2020-05-31
65-74,SI_HOSPITALIZED_COUNT,490,2020-05-31
65-74,SI_DEATH_COUNT,189,2020-05-31
65-74,SI_CASE_RATE,2959.13,2020-05-31
65-74,SI_HOSPITALIZED_RATE,1079.65,2020-05-31
65-74,SI_DEATH_RATE,416.44,2020-05-31
75+,BK_CASE_COUNT,6796,2020-05-31
75+,BK_HOSPITALIZED_COUNT,4056,2020-05-31
75+,BK_DEATH_COUNT,2453,2020-05-31
75+,BK_CASE_RATE,4388.56,2020-05-31
75+,BK_HOSPITALIZED_RATE,2619.19,2020-05-31
75+,BK_DEATH_RATE,1584.04,2020-05-31
75+,BX_CASE_COUNT,4662,2020-05-31
75+,BX_HOSPITALIZED_COUNT,2902,2020-05-31
75+,BX_DEATH_COUNT,1605,2020-05-31
75+,BX_CASE_RATE,5730.02,2020-05-31
75+,BX_HOSPITALIZED_RATE,3566.82,2020-05-31
75+,BX_DEATH_RATE,1972.69,2020-05-31
75+,MN_CASE_COUNT,4123,2020-05-31
75+,MN_HOSPITALIZED_COUNT,2571,2020-05-31
75+,MN_DEATH_COUNT,1365,2020-05-31
75+,MN_CASE_RATE,3364.04,2020-05-31
75+,MN_HOSPITALIZED_RATE,2097.73,2020-05-31
75+,MN_DEATH_RATE,1113.73,2020-05-31
75+,QN_CASE_COUNT,6661,2020-05-31
75+,QN_HOSPITALIZED_COUNT,4265,2020-05-31
75+,QN_DEATH_COUNT,2335,2020-05-31
75+,QN_CASE_RATE,4255.47,2020-05-31
75+,QN_HOSPITALIZED_RATE,2724.75,2020-05-31
75+,QN_DEATH_RATE,1491.75,2020-05-31
75+,SI_CASE_COUNT,1213,2020-05-31
75+,SI_HOSPITALIZED_COUNT,631,2020-05-31
75+,SI_DEATH_COUNT,430,2020-05-31
75+,SI_CASE_RATE,3830.37,2020-05-31
75+,SI_HOSPITALIZED_RATE,1992.55,2020-05-31
75+,SI_DEATH_RATE,1357.84,2020-05-31
Boroughwide,BK_CASE_COUNT,55306,2020-05-31
Boroughwide,BK_HOSPITALIZED_COUNT,14163,2020-05-31
Boroughwide,BK_DEATH_COUNT,5119,2020-05-31
Boroughwide,BK_CASE_RATE,2141.29,2020-05-31
Boroughwide,BK_HOSPITALIZED_RATE,548.35,2020-05-31
Boroughwide,BK_DEATH_RATE,198.19,2020-05-31
Boroughwide,BX_CASE_COUNT,45360,2020-05-31
Boroughwide,BX_HOSPITALIZED_COUNT,11738,2020-05-31
Boroughwide,BX_DEATH_COUNT,3560,2020-05-31
Boroughwide,BX_CASE_RATE,3167.31,2020-05-31
Boroughwide,BX_HOSPITALIZED_RATE,819.62,2020-05-31
Boroughwide,BX_DEATH_RATE,248.58,2020-05-31
Boroughwide,MN_CASE_COUNT,25056,2020-05-31
Boroughwide,MN_HOSPITALIZED_COUNT,7664,2020-05-31
Boroughwide,MN_DEATH_COUNT,2293,2020-05-31
Boroughwide,MN_CASE_RATE,1538.4,2020-05-31
Boroughwide,MN_HOSPITALIZED_RATE,470.56,2020-05-31
Boroughwide,MN_DEATH_RATE,140.79,2020-05-31
Boroughwide,QN_CASE_COUNT,61306,2020-05-31
Boroughwide,QN_HOSPITALIZED_COUNT,16354,2020-05-31
Boroughwide,QN_DEATH_COUNT,5042,2020-05-31
Boroughwide,QN_CASE_RATE,2690.15,2020-05-31
Boroughwide,QN_HOSPITALIZED_RATE,717.63,2020-05-31
Boroughwide,QN_DEATH_RATE,221.25,2020-05-31
Boroughwide,SI_CASE_COUNT,13417,2020-05-31
Boroughwide,SI_HOSPITALIZED_COUNT,2267,2020-05-31
Boroughwide,SI_DEATH_COUNT,821,2020-05-31
Boroughwide,SI_CASE_RATE,2817.64,2020-05-31
Boroughwide,SI_HOSPITALIZED_RATE,476.08,2020-05-31
Boroughwide,SI_DEATH_RATE,172.41,2020-05-31
0-17,BK_CASE_COUNT,1683,2020-06-01
0-17,BK_HOSPITALIZED_COUNT,164,2020-06-01
0-17,BK_DEATH_COUNT,3,2020-06-01
0-17,BK_CASE_RATE,288.62,2020-06-01
0-17,BK_HOSPITALIZED_RATE,28.12,2020-06-01
0-17,BK_DEATH_RATE,0.51,2020-06-01
0-17,BX_CASE_COUNT,1591,2020-06-01
0-17,BX_HOSPITALIZED_COUNT,154,2020-06-01
0-17,BX_DEATH_COUNT,5,2020-06-01
0-17,BX_CASE_RATE,450.88,2020-06-01
